KEY,VALUE
STUDIO,Bit Studio
WRITTING,Bitowsky
CODING,Bitowsky
MANAGER,Bitowsky
ART,Bitowsky\nNico Nowak {OR}\nAmélie Guinet {OR}\nThéophile Loaec {OR}\nPascal Cammisotto {OR}
MUSIC,Xiaotian Shi {OR}
ADDMUSIC,Bitowsky\nPascal Cammisotto {OR}
LOL,Bitowsky\n{SERVER}\n{TEA}
LOL2,{NOT}\n{BSOD}
BIT,Bitowsky
TRAN_EN,Bitowsky
TRAN_PL,Bitowsky
TRAN_FR,VolcanoJungle\nXcvazer
TRAN_RU,Blazer88
TRAN_CZ,UltraGearGames
TRAN_FAN_FAN,some tester name
TEST,_conveyor\n_ThroneX\nVolcanojungle\nBlazer88\nUltraGearGames
SPECIAL,ConveyorX Softwares\nUltraGearGames\npolvunak\nYenterary
CONV,ConveyorX Softwares
UGG,UltraGearGames
